"threat.status.mma","search.str"
"EN","Isoetes bradei"
"EN","Isoetes luetzelburgii"
"EN","Jungermannia decolor"
"VU","Cyanocephalus apertiflorus"
"EN","Cyanocephalus caprariifolius"
"EN","Cyanocephalus delicatulus"
"EN","Cyanocephalus digitatus"
"EN","Cyanocephalus tagetifolius"
"EN","Cyanocephalus viaticus"
"EN","Eriope anamariae"
"VU","Eriope blanchetii"
"CR","Eriope crassipes subsp. cristalinae"
"VU","Eriope luetzelburgii"
"EN","Eriope machrisae"
"EN","Eriope obovata var. gracilis"
"VU","Hesperozygis ringens"
"CR","Hypenia aristulata"
"EN","Hypenia crispata"
"EN","Hypenia micrantha"
"EN","Hypenia subrosea"
"EN","Hyptidendron claussenii"
"EN","Hyptidendron conspersum"
"EN","Hyptis alpestris"
"EN","Hyptis angustifolia"
"VU","Hyptis arenaria"
"EN","Hyptis bahiensis"
"EN","Hyptis colligata"
"EN","Hyptis cruciformis"
"VU","Hyptis frondosa"
"VU","Hyptis hamatidens"
"EN","Hyptis imbricatiformis"
"VU","Hyptis pachyphylla"
"EN","Hyptis penaeoides"
"EN","Hyptis rhypidiophylla"
"EN","Leptohyptis pinheiroi"
"EN","Martianthus sancti-gabrielii"
"VU","Medusantha carvalhoi"
"CR","Oocephalus piranii"
"EN","Aiouea benthamiana"
"VU","Aiouea bracteata"
"EN","Aiouea lehmannii"
"VU","Aniba ferrea"
"EN","Aniba rosiodora"
"VU","Aniba santalodora"
"EN","Beilschmiedia rigida"
"EN","Cinnamomum erythropus"
"VU","Cinnamomum hatschbachii"
"VU","Cinnamomum quadrangulum"
"CR","Dicypellium caryophyllaceum"
"VU","Mezilaurus itauba"
"EN","Mezilaurus navalium"
"VU","Nectandra barbellata"
"VU","Nectandra grisea"
"VU","Nectandra paranaensis"
"EN","Ocotea basicordatifolia"
"EN","Ocotea beulahiae"
"VU","Ocotea beyrichii"
"EN","Ocotea bragai"
"VU","Ocotea catharinensis"
"VU","Ocotea confertiflora"
"EN","Ocotea cryptocarpa"
"EN","Ocotea felix"
"VU","Ocotea mosenii"
"EN","Ocotea odorifera"
"EN","Ocotea porosa"
"EN","Ocotea serrana"
"EN","Ocotea tabacifolia"
"CR","Persea glabra"
"CR","Persea obovata"
"EN","Persea pedunculosa"
"EN","Rhodostemonodaphne capixabensis"
"CR","Rhodostemonodaphne parvifolia"
"EN","Rhodostemonodaphne recurva"
"VU","Urbanodendron bahiense"
"CR","Williamodendron cinnamomeum"
"VU","Bertholletia excelsa"
"EN","Cariniana ianeirensis"
"EN","Cariniana legalis"
"EN","Cariniana parvifolia"
"EN","Couratari asterotricha"
"EN","Couratari pyramidata"
"EN","Eschweilera alvimii"
"EN","Eschweilera compressa"
"EN","Eschweilera subcordata"
"EN","Eschweilera tetrapetala"
"EN","Lecythis schwackei"
"EN","Blepharolejeunea securifolia"
"EN","Bromeliophila natans"
"EN","Drepanolejeunea aculeata"
"VU","Myriocoleopsis fluviatilis"
"EN","Genlisea lobata"
"VU","Utricularia tridentata"
"EN","Paracromastigum dusenii"
"EN","Linum smithii"
"CR","Aosa uleana"
"EN","Spigelia aceifolia"
"EN","Spigelia amplexicaulis"
"CR","Spigelia cipoensis"
"VU","Spigelia flava"
"EN","Spigelia kuhlmannii"
"EN","Spigelia lundiana"
"EN","Spigelia reitzii"
"EN","Spigelia vestita"
"EN","Diphasium jussiaei"
"EN","Palhinhaea bradei"
"EN","Phlegmariurus aqualupianus"
"EN","Phlegmariurus christii"
"CR","Phlegmariurus hemleri"
"EN","Phlegmariurus itambensis"
"EN","Phlegmariurus martii"
"EN","Phlegmariurus mollicomus"
"EN","Phlegmariurus mooreanus"
"EN","Phlegmariurus nudus"
"CR","Phlegmariurus regnellii"
"CR","Phlegmariurus ruber"
"VU","Phlegmariurus sellowianus"
"EN","Phlegmariurus taxifolius"
"CR","Phlegmariurus treitubensis"
"EN","Pseudolycopodiella benjaminiana"
"CR","Cuphea adenophylla"
"VU","Cuphea arenarioides"
"EN","Cuphea bahiensis"
"EN","Cuphea cipoensis"
"EN","Cuphea cuiabensis"
"EN","Cuphea glaziovii"
"EN","Cuphea lindmaniana"
"CR","Cuphea rubro-virens"
"CR","Cuphea teleandra"
"EN","Diplusodon aggregatifolius"
"CR","Diplusodon argyrophyllus"
"CR","Diplusodon ericoides"
"CR","Diplusodon glaziovii"
"CR","Diplusodon gracilis"
"VU","Diplusodon hatschbachii"
"EN","Diplusodon minasensis"
"VU","Diplusodon orbicularis"
"EN","Diplusodon ovatus"
"CR","Diplusodon panniculatus"
"CR","Diplusodon retroimbricatus"
"VU","Diplusodon villosissimus"
"VU","Lafoensia nummularifolia"
"VU","Banisteriopsis andersonii"
"VU","Banisteriopsis basifixa"
"EN","Banisteriopsis cipoensis"
"EN","Banisteriopsis hatschbachii"
"EN","Banisteriopsis hirsuta"
"EN","Banisteriopsis magdalenensis"
"CR","Banisteriopsis pseudojanusia"
"VU","Banisteriopsis sellowiana"
"CR","Bunchosia itacarensis"
"VU","Bunchosia macilenta"
"EN","Bunchosia pernambucana"
"VU","Byrsonima alvimii"
"VU","Byrsonima brachybotrya"
"EN","Byrsonima cipoensis"
"CR","Byrsonima fonsecae"
"EN","Byrsonima lanulosa"
"EN","Byrsonima microphylla"
"EN","Byrsonima onishiana"
"VU","Camarea elongata"
"EN","Camarea humifusa"
"CR","Camarea linearifolia"
"EN","Diplopterys sepium"
"EN","Heladena multiflora"
"EN","Heteropterys admirabilis"
"CR","Heteropterys aliciae"
"CR","Heteropterys bahiensis"
"EN","Heteropterys brasiliensis"
"EN","Heteropterys bullata"
"EN","Heteropterys capixaba"
"CR","Heteropterys conformis"
"VU","Heteropterys crinigera"
"VU","Heteropterys dusenii"
"EN","Heteropterys fragilis"
"CR","Heteropterys hatschbachii"
"EN","Heteropterys marginata"
"EN","Heteropterys megaptera"
"VU","Heteropterys oberdanii"
"CR","Heteropterys occhionii"
"CR","Heteropterys sanctorum"
"EN","Heteropterys ternstroemiifolia"
"EN","Heteropterys thyrsoidea"
"VU","Hiraea bullata"
"EN","Hiraea wiedeana"
"VU","Janusia linearifolia"
"EN","Janusia occhionii"
"EN","Janusia schwannioides"
"EN","Mezia araujoi"
"EN","Peixotoa adenopoda"
"CR","Peixotoa andersonii"
"CR","Peixotoa bahiana"
"EN","Peixotoa barnebyi"
"EN","Peixotoa catarinensis"
"EN","Peixotoa cipoana"
"VU","Peixotoa psilophylla"
"CR","Stigmaphyllon bradei"
"CR","Stigmaphyllon carautae"
"EN","Stigmaphyllon crenatum"
"CR","Stigmaphyllon glabrum"
"EN","Stigmaphyllon harleyi"
"CR","Stigmaphyllon macedoanum"
"CR","Stigmaphyllon mattogrossense"
"CR","Stigmaphyllon vitifolium"
"VU","Thryallis laburnum"
"EN","Thryallis parviflora"
"CR","Abutilon anodoides"
"CR","Abutilon nigricans"
"EN","Calyculogygas uruguayensis"
"EN","Calyptraemalva catharinensis"
"EN","Hochreutinera hasslerana"
"EN","Monteiroa smithii"
"EN","Pavonia almasana"
"VU","Pavonia grazielae"
"EN","Pavonia hatschbachii"
"EN","Pavonia spiciformis"
"EN","Goeppertia tuberosa"
"EN","Goeppertia widgrenii"
"EN","Ischnosiphon ovatus"
"VU","Maranta subterranea"
"VU","Saranthe composita"
"EN","Marchantia berteroana"
"VU","Regnellidium diphyllum"
"CR","Bertolonia angustifolia"
"CR","Bertolonia formosa"
"EN","Bertolonia foveolata"
"CR","Bertolonia hoehneana"
"EN","Bertolonia leuzeana"
"EN","Bertolonia paranaensis"
"VU","Cambessedesia atropurpurea"
"EN","Cambessedesia gracilis"
"EN","Cambessedesia hermogenesii"
"VU","Cambessedesia weddellii"
"VU","Cambessedesia wurdackii"
"EN","Eriocnema acaulis"
"VU","Eriocnema fulva"
"EN","Huberia carvalhoi"
"VU","Huberia espiritosantensis"
"EN","Huberia pirani"
"VU","Lavoisiera cordata"
"EN","Leandra hatschbachii"
"EN","Lithobium cordatum"
"CR","Marcetia alba"
"EN","Marcetia bahiana"
"EN","Marcetia formosa"
"EN","Marcetia hatschbachii"
"EN","Marcetia luetzelburgii"
"EN","Marcetia lychnophoroides"
"EN","Marcetia nummularia"
"EN","Marcetia oxycoccoides"
"EN","Marcetia semiriana"
"EN","Marcetia shepherdii"
"VU","Marcetia viscida"
"VU","Meriania callophylla"
"EN","Merianthera burlemarxii"
"VU","Merianthera pulchra"
"CR","Miconia angelana"
"CR","Miconia capixaba"
"CR","Miconia carvalhoana"
"EN","Miconia cipoensis"
"VU","Miconia glazioviana"
"EN","Miconia johnwurdackiana"
"VU","Miconia mendoncae"
"EN","Miconia penduliflora"
"EN","Miconia picinguabensis"
"VU","Miconia setosociliata"
"EN","Microlicia canastrensis"
"CR","Microlicia cuspidifolia"
"EN","Microlicia flava"
"EN","Microlicia glazioviana"
"VU","Microlicia humilis"
"EN","Microlicia macedoi"
"CR","Microlicia microphylla"
"EN","Microlicia obtusifolia"
"EN","Microlicia psammophila"
"CR","Mouriri megasperma"
"VU","Ossaea warmingiana"
"VU","Rhynchanthera latifolia"
"EN","Svitramia integerrima"
"VU","Svitramia minor"
"VU","Svitramia wurdackiana"
"EN","Tibouchina apparicioi"
"EN","Tibouchina bergiana"
"VU","Tibouchina boudetii"
"CR","Tibouchina castellensis"
"EN","Tibouchina quartzophila"
"EN","Tibouchina riedeliana"
"EN","Trembleya calycina"
"EN","Trembleya chamissoana"
"EN","Trembleya hatschbachii"
"CR","Trembleya pityoides"
"VU","Cedrela fissilis"
"EN","Cedrela lilloi"
"VU","Cedrela odorata"
"VU","Swietenia macrophylla"
"VU","Trichilia blanchetii"
"CR","Trichilia florbranca"
"EN","Trichilia magnifoliola"
"EN","Trichilia micropetala"
"VU","Trichilia stellato-tomentosa"
"EN","Metzgeria hegewaldii"
"EN","Macropeplus friburgensis"
"EN","Mollinedia eugeniifolia"
"EN","Mollinedia longicuspidata"
"VU","Mollinedia luizae"
"EN","Dorstenia conceptionis"
"CR","Dorstenia hildegardis"
"VU","Ficus cyclophylla"
"EN","Maclura brasiliensis"
"VU","Iryanthera campinae"
"EN","Virola bicuhyba"
"VU","Virola parvifolia"
"VU","Virola surinamensis"
"EN","Accara elegans"
"VU","Calycolpus legrandii"
"VU","Calyptranthes fusiformis"
"EN","Calyptranthes hatschbachii"
"VU","Calyptranthes pileata"
"VU","Calyptranthes restingae"
"CR","Campomanesia espiritosantensis"
"EN","Campomanesia hirsuta"
"VU","Campomanesia macrobracteolata"
"EN","Campomanesia prosthecesepala"
"VU","Campomanesia reitziana"
"EN","Eugenia blanda"
"EN","Eugenia brunoi"
"VU","Eugenia bunchosiifolia"
"VU","Eugenia disperma"
"CR","Eugenia hermesiana"
"EN","Eugenia imaruiensis"
"EN","Eugenia itacarensis"
"VU","Eugenia joenssonii"
"EN","Eugenia leonorae"
"EN","Eugenia macrobracteolata"
"EN","Eugenia malacantha"
"EN","Eugenia mattosii"
"EN","Eugenia myrciariifolia"
"EN","Eugenia neosericea"
"EN","Eugenia neotristis"
"EN","Eugenia oxyoentophylla"
"EN","Eugenia pachyclada"
"EN","Eugenia peruibensis"
"EN","Eugenia pruinosa"
"EN","Eugenia pseudomalacantha"
"EN","Eugenia reitziana"
"CR","Eugenia rotundicosta"
"VU","Eugenia sclerocalyx"
"VU","Eugenia vattimoana"
"EN","Eugenia villaenovae"
"EN","Marlierea krapovickae"
"CR","Marlierea lealcostae"
"CR","Marlierea skortzoviana"
"EN","Myrceugenia bracteosa"
"EN","Myrceugenia brevipedicellata"
"EN","Myrceugenia foveolata"
"EN","Myrceugenia franciscensis"
"EN","Myrceugenia gertii"
"EN","Myrceugenia hamoniana"
"VU","Myrceugenia hatschbachii"
"VU","Myrceugenia hoehnei"
"VU","Myrceugenia kleinii"
"EN","Myrcia almasensis"
"VU","Myrcia diaphana"
"CR","Myrcia follii"
"CR","Myrcia gilsoniana"
"EN","Myrcia hexasticha"
"EN","Myrcia isaiana"
"EN","Myrcia limae"
"EN","Myrcia lineata"
"CR","Myrcia magnifolia"
"CR","Myrcia neocambessedeana"
"CR","Myrcia riodocensis"
"EN","Myrcia rupicola"
"VU","Myrciaria plinioides"
"VU","Neomitranthes amblymitra"
"VU","Neomitranthes cordifolia"
"EN","Neomitranthes gracilis"
"EN","Neomitranthes langsdorffii"
"EN","Neomitranthes obtusa"
"EN","Neomitranthes pedicellata"
"EN","Neomitranthes sctictophylla"
"EN","Plinia callosa"
"EN","Plinia complanata"
"VU","Plinia edulis"
"EN","Plinia hatschbachii"
"EN","Plinia ilhensis"
"EN","Plinia muricata"
"EN","Plinia rara"
"EN","Plinia renatiana"
"EN","Psidium giganteum"
"EN","Psidium reptans"
"VU","Siphoneugena kuhlmannii"
"VU","Luxemburgia angustifolia"
"VU","Luxemburgia corymbosa"
"VU","Luxemburgia flexuosa"
"EN","Ouratea hatschbachii"
"VU","Sauvagesia nitida"
"CR","Chionanthus fluminensis"
"VU","Chionanthus subsessilis"
"CR","Chionanthus tenuis"
"CR","Acianthera adiri"
"CR","Acianthera heringeri"
"EN","Acianthera langeana"
"VU","Acianthera papillosa"
"CR","Adamantinia miltonioides"
"CR","Alatiglossum croesus"
"CR","Anathallis colnagoi"
"VU","Anathallis gehrtii"
"EN","Anathallis pabstii"
"VU","Anathallis tigridens"
"EN","Baptistonia kautskyi"
"CR","Baptistonia truncata"
"EN","Barbosella trilobata"
"CR","Bifrenaria silvana"
"EN","Bifrenaria wittigii"
"CR","Bipinnula biplumata"
"EN","Bipinnula penicillata"
"VU","Brachionidium restrepioides"
"VU","Brachystele camporum"
"VU","Brasilaelia crispa"
"VU","Brasilaelia grandis"
"EN","Brasilaelia lobata"
"VU","Brasilaelia perrinii"
"VU","Brasilaelia purpurata"
"EN","Brasilaelia tenebrosa"
"EN","Brasilaelia xanthina"
"CR","Brasilidium marshallianum"
"CR","Brasilidium pectorale"
"EN","Brasiliorchis schunkeana"
"VU","Brassia arachnoidea"
"CR","Bulbophyllum arianeae"
"EN","Bulbophyllum boudetianum"
"VU","Bulbophyllum kautskyi"
"EN","Campylocentrum pernambucense"
"EN","Catasetum mattosianum"
"VU","Cattleya aclandiae"
"EN","Cattleya dormaniana"
"VU","Cattleya granulosa"
"VU","Cattleya guttata"
"VU","Cattleya harrisoniana"
"VU","Cattleya intermedia"
"VU","Cattleya labiata"
"CR","Cattleya porphyroglossa"
"EN","Cattleya schilleriana"
"CR","Cattleya schofieldiana"
"EN","Cattleya tenuis"
"VU","Cattleya tigrina"
"VU","Cattleya velutina"
"VU","Cattleya walkeriana"
"VU","Cattleya warneri"
"CR","Centroglossa castellensis"
"EN","Chloraea membranacea"
"EN","Cirrhaea fuscolutea"
"CR","Cirrhaea loddigesii"
"VU","Cirrhaea longiracemosa"
"EN","Cleistes aphylla"
"CR","Codonorchis canisioi"
"CR","Constantia cipoensis"
"VU","Coppensia macronyx"
"EN","Coppensia majevskyi"
"EN","Cyclopogon dutrae"
"EN","Cycnoches pentadactylum"
"VU","Cyrtopodium caiapoense"
"EN","Cyrtopodium hatschbachii"
"CR","Cyrtopodium lamellaticallosum"
"CR","Cyrtopodium latifolium"
"CR","Cyrtopodium linearifolium"
"VU","Cyrtopodium lissochiloides"
"VU","Cyrtopodium palmifrons"
"EN","Cyrtopodium poecilum var. roseum"
"VU","Cyrtopodium triste"
"VU","Dichaea mosenii"
"CR","Dryadella auriculigera"
"VU","Dryadella lilliputiana"
"CR","Dryadella susanae"
"VU","Dungsia harpophylla"
"CR","Dungsia kautskyi"
"EN","Encyclia bragancae"
"VU","Epidendrum addae"
"VU","Epidendrum ecostatum"
"EN","Epidendrum henschenii"
"VU","Epidendrum robustum"
"EN","Epidendrum zappii"
"VU","Grandiphyllum divaricatum"
"VU","Grandiphyllum hians"
"CR","Grobya cipoensis"
"VU","Grobya fascifera"
"VU","Habenaria achalensis"
"CR","Habenaria brachyplectron"
"EN","Habenaria ernestulei"
"CR","Habenaria galeandriformis"
"CR","Habenaria itaculumia"
"CR","Habenaria novaesii"
"EN","Habenaria piraquarensis"
"CR","Hadrolaelia alaori"
"VU","Hadrolaelia brevipedunculata"
"EN","Hadrolaelia jongheana"
"VU","Hadrolaelia pumila"
"EN","Hadrolaelia pygmaea"
"EN","Hadrolaelia sincorana"
"EN","Hadrolaelia wittigiana"
"CR","Hoehneella heloisae"
"EN","Hoffmannseggella briegeri"
"EN","Hoffmannseggella caulescens"
"CR","Hoffmannseggella endsfeldzii"
"EN","Hoffmannseggella ghillanyi"
"CR","Hoffmannseggella gloedeniana"
"CR","Hoffmannseggella kautskyana"
"CR","Hoffmannseggella milleri"
"EN","Hoffmannseggella mixta"
"CR","Hoffmannseggella munchowiana"
"EN","Houlletia brocklehurstiana"
"VU","Isabelia virginalis"
"VU","Lophiaris schwambachiae"
"VU","Malaxis jaraguae"
"CR","Masdevallia discoidea"
"CR","Miltonia kayasimae"
"CR","Myoxanthus ruschii"
"CR","Myoxanthus seidelii"
"EN","Neogardneria murrayana"
"EN","Notylia microchila"
"EN","Octomeria alexandri"
"VU","Octomeria chamaeleptotes"
"VU","Octomeria geraensis"
"VU","Octomeria hatschbachii"
"EN","Octomeria hoehnei"
"EN","Octomeria lichenicola"
"VU","Octomeria truncicola"
"EN","Octomeria wawrae"
"CR","Octomeria wilsoniana"
"EN","Pabstia jugosa"
"CR","Pabstia schunkiana"
"EN","Pabstiella bacillaris"
"VU","Pabstiella carinifera"
"CR","Pabstiella castellensis"
"EN","Pabstiella conspersa"
"CR","Pabstiella garayi"
"EN","Pabstiella lingua"
"CR","Pabstiella ruschii"
"VU","Phragmipedium vittatum"
"EN","Phymatidium geiselii"
"VU","Phymatidium glaziovii"
"VU","Phymatidium vogelii"
"CR","Polystachya rupicola"
"CR","Pseudolaelia brejetubensis"
"VU","Pseudolaelia canaanensis"
"CR","Pseudolaelia cipoensis"
"EN","Pseudolaelia citrina"
"VU","Pseudolaelia dutrae"
"EN","Pteroglossa hilariana"
"EN","Rauhiella silvana"
"EN","Sarcoglottis alexandri"
"EN","Saundersia mirabilis"
"VU","Saundersia paniculata"
"EN","Scuticaria irwiniana"
"CR","Scuticaria itirapinensis"
"CR","Scuticaria kautskyi"
"EN","Scuticaria strictifolia"
"CR","Specklinia gomesferreirae"
"CR","Stigmatosema hatschbachii"
"VU","Thelyschista ghillanyi"
"EN","Thysanoglossa jordanensis"
"CR","Trichopilia santoslimae"
"VU","Vanilla dietschiana"
"EN","Vanilla dubia"
"EN","Zygopetalum pabstii"
"EN","Zygostates kuhlmannii"
"CR","Zygostates linearisepala"
"CR","Agalinis bandeirensis"
"VU","Agalinis brachyphylla"
"EN","Agalinis itambensis"
"EN","Agalinis nana"
"EN","Agalinis ramulifera"
"CR","Agalinis schwackeana"
"VU","Esterhazya caesarea"
"CR","Magdalenaea limae"
"EN","Nothochilus coccineus"
"CR","Oxalis arachnoidea"
"CR","Oxalis bela-vitoriae"
"CR","Oxalis blackii"
"CR","Oxalis clausenii"
"CR","Oxalis diamantinae"
"CR","Oxalis doceana"
"EN","Oxalis hyalotricha"
"EN","Oxalis impatiens"
"CR","Oxalis kuhlmannii"
"VU","Oxalis mandioccana"
"CR","Oxalis paranaensis"
"EN","Oxalis praetexta"
"EN","Jensenia difformis"
"EN","Passiflora hatschbachii"
"EN","Passiflora imbeana"
"CR","Passiflora ischnoclada"
"EN","Passiflora margaritae"
"EN","Passiflora setulosa"
"EN","Passiflora urubiciensis"
"VU","Ternstroemia cuneifolia"
"VU","Phyllanthus gladiatus"
"EN","Microtea bahiensis"
"VU","Microtea papilosa"
"EN","Picramnia coccinea"
"VU","Peperomia cordigera"
"EN","Peperomia gracilis"
"CR","Peperomia guarujana"
"EN","Peperomia hemmendorffii"
"EN","Peperomia itatiaiana"
"EN","Peperomia loefgrenii"
"EN","Peperomia rostulatiformis"
"CR","Peperomia rufispica"
"EN","Peperomia suboppositifolia"
"EN","Piper amparoense"
"EN","Piper anostachyum"
"EN","Piper barretoi"
"VU","Piper bennettianum"
"EN","Piper carautensei"
"EN","Piper casteloense"
"VU","Piper duartei"
"EN","Piper edwallii"
"CR","Piper hatschbachii"
"EN","Piper hoehnei"
"EN","Piper juliflorum"
"VU","Piper kuhlmannii"
"EN","Piper laevicarpum"
"VU","Piper loefgrenii"
"EN","Piper oblancifolium"
"EN","Piper piritubanum"
"EN","Piper rioense"
"CR","Piper sampaioi"
"EN","Piper scabrellum"
"EN","Plagiochila boryana"
"CR","Achetaria caparaoense"
"CR","Achetaria latifolia"
"CR","Angelonia alternifolia"
"EN","Bacopa cochlearia"
"CR","Ildefonsia bibracteata"
"EN","Plantago turficola"
"VU","Stemodia harleyi"
"VU","Stemodia hyptoides"
"VU","Agrostis lenis"
"EN","Agrostis longiberbis"
"CR","Altoparadisium chapadense"
"EN","Andropogon glaucophyllus"
"EN","Anomochloa marantoidea"
"CR","Anthaenantiopsis fiebrigii"
"EN","Apoclada simplex"
"EN","Aristida brasiliensis"
"CR","Aristida constricta"
"CR","Arthropogon xerachne"
"VU","Arundinella deppeana"
"EN","Axonopus carajasensis"
"VU","Axonopus fastigiatus"
"CR","Axonopus hydrolithicus"
"EN","Axonopus monticola"
"EN","Axonopus ramboi"
"CR","Axonopus uninodis"
"VU","Bothriochloa laguroides"
"CR","Bromidium ramboi"
"EN","Cambajuva ulei"
"CR","Canastra lanceolata"
"EN","Chascolytrum brasiliense"
"CR","Chascolytrum bulbosum"
"EN","Chascolytrum itatiaiae"
"CR","Chascolytrum parodianum"
"EN","Chascolytrum scabrum"
"EN","Chusquea attenuata"
"CR","Chusquea baculifera"
"EN","Chusquea erecta"
"EN","Chusquea heterophylla"
"EN","Chusquea pulchella"
"CR","Chusquea tenuiglumis"
"EN","Colanthelia macrostachya"
"EN","Danthonia cirrata"
"EN","Deschampsia caespitosa"
"EN","Diandrolyra tatianae"
"EN","Digitaria neesiana"
"EN","Glaziophyton mirabile"
"CR","Gymnopogon doellii"
"VU","Leersia ligularis"
"EN","Lithachne horizontalis"
"VU","Luziola brasiliensis"
"EN","Melica arzivencoi"
"CR","Merostachys abadiana"
"EN","Merostachys burmanii"
"CR","Merostachys caucaiana"
"CR","Merostachys scandens"
"CR","Ocellochloa brachystachya"
"CR","Olyra latispicula"
"CR","Parianella carvalhoi"
"EN","Paspalum biaristatum"
"EN","Paspalum longiaristatum"
"EN","Paspalum niquelandiae"
"EN","Paspalum rawitscheri"
"EN","Paspalum repandum"
"EN","Piptochaetium alpinum"
"CR","Piptochaetium palustre"
"EN","Poa bradei"
"EN","Poa reitzii"
"CR","Raddia angustifolia"
"EN","Raddia distichophylla"
"VU","Reitzia smithii"
"EN","Schizachyrium scabriflorum"
"CR","Setaria parviflora var. pilosissima"
"CR","Setaria stolonifera"
"EN","Sporobolus apiculatus"
"EN","Sucrea maculata"
"EN","Sucrea sampaiana"
"EN","Triraphis devia"
"EN","Zizaniopsis bonariensis"
"CR","Podocarpus barretoi"
"VU","Podocarpus brasiliensis"
"VU","Mourera weddelliana"
"EN","Podostemum ovatum"
"VU","Podostemum rutifolium"
"CR","Podostemum saldanhanum"
"EN","Polygala franchetii"
"EN","Polygala selaginoides"
"EN","Polygala stephaniana"
"VU","Polygala tamariscea"
"CR","Alansmia senilis"
"VU","Ceradenia capillaris"
"EN","Ceradenia glaziovii"
"CR","Ceradenia warmingii"
"EN","Grammitis fluminensis"
"VU","Lellingeria brasiliensis"
"CR","Lellingeria itatimensis"
"EN","Lellingeria tamandarei"
"EN","Moranopteris perpusilla"
"CR","Pecluma hoehnii"
"CR","Pecluma imbeana"
"CR","Pecluma insularis"
"EN","Pleopeltis alborufula"
"EN","Pleopeltis monoides"
"CR","Pleopeltis trindadensis"
"CR","Stenogrammitis limula"
"CR","Stenogrammitis pumila"
"EN","Terpsichore semihirsuta"
"EN","Terpsichore taxifolia"
"EN","Portulaca hatschbachii"
"VU","Leptodontium wallisii"
"EN","Lysimachia barbata"
"EN","Lysimachia buxifolia"
"EN","Myrsine congesta"
"EN","Myrsine glazioviana"
"EN","Myrsine villosissima"
"EN","Euplassa cantareirae"
"VU","Euplassa incana"
"EN","Euplassa nebularis"
"EN","Euplassa semicostata"
"EN","Panopsis multiflora"
"EN","Roupala asplenioides"
"VU","Roupala sculpta"
"CR","Adiantum diphyllum"
"EN","Adiantum discolor"
"EN","Adiantum mynsseniae"
"EN","Adiantum papillosum"
"EN","Adiantum tetragonum"
"EN","Cheilanthes incisa"
"EN","Cheilanthes juergensii"
"EN","Cheilanthes regnelliana"
"EN","Doryopteris itatiaiensis"
"VU","Doryopteris paradoxa"
"CR","Doryopteris quinquelobata"
"VU","Doryopteris rediviva"
"EN","Doryopteris rosenstockii"
"EN","Doryopteris rufa"
"EN","Doryopteris subsimplex"
"EN","Doryopteris tijucana"
"EN","Doryopteris trilobata"
"EN","Jamesonia biardii"
"EN","Jamesonia brasiliensis"
"EN","Jamesonia cheilanthoides"
"EN","Jamesonia insignis"
"CR","Jamesonia rufescens"
"EN","Pellaea cymbiformis"
"EN","Pellaea gleichenioides"
"EN","Pteris congesta"
"CR","Pteris limae"
"EN","Quillaja brasiliensis"
"EN","Colletia exserta"
"EN","Colletia paradoxa"
"EN","Condalia buxifolia"
"VU","Discaria americana"
"VU","Gouania corylifolia"
"EN","Gouania inornata"
"VU","Rhamnidium glabrum"
"EN","Scutia arenicola"
"CR","Riccia ridleyi"
"VU","Alseis involuta"
"CR","Bradea anomala"
"CR","Bradea bicornuta"
"CR","Bradea montana"
"VU","Carapichea ipecacuanha"
"CR","Chomelia modesta"
"EN","Coussarea bocainae"
"CR","Erithalis insularis"
"VU","Faramea bahiensis"
"EN","Faramea paratiensis"
"VU","Galianthe elegans"
"EN","Galianthe souzae"
"EN","Galianthe vaginata"
"CR","Galium diphyllum"
"CR","Galium rubidiflorum"
"CR","Galium shepherdii"
"CR","Guettarda paludosa"
"EN","Hindsia glabra"
"CR","Hindsia ibitipocensis"
"CR","Manettia campanulacea"
"EN","Manettia pauciflora"
"VU","Melanopsidium nigrum"
"EN","Mitracarpus anthospermoides"
"EN","Mitracarpus eritrichoides"
"VU","Mitracarpus rigidifolius"
"VU","Pagamea harleyi"
"VU","Palicourea fulgens"
"EN","Psychotria loefgrenii"
"EN","Psychotria microcarpa"
"EN","Psychotria paludosa"
"EN","Richardia schumannii"
"EN","Riodocea pulcherrima"
"CR","Rudgea coronata subsp. saint-hilairei"
"EN","Rudgea corymbulosa"
"VU","Rudgea crassifolia"
"EN","Rudgea erythrocarpa"
"VU","Rudgea insignis"
"VU","Rudgea jasminoides subsp. nervosa"
"EN","Rudgea macrophylla"
"EN","Rudgea pachyphylla"
"CR","Rudgea parquioides subsp. caprifolium"
"EN","Rudgea parquioides subsp. hirsutissima"
"VU","Rudgea parvifolia"
"EN","Rudgea sessilis subsp. cipoana"
"VU","Rudgea umbrosa"
"EN","Rustia angustifolia"
"EN","Simira grazielae"
"EN","Simira hatschbachiorum"
"EN","Staelia hatschbachii"
"EN","Standleya kuhlmanni"
"EN","Almeidea coerulea"
"CR","Andreadoxa flava"
"CR","Conchocarpus bellus"
"CR","Conchocarpus cauliflorus"
"CR","Conchocarpus marginatus"
"EN","Esenbeckia irwiniana"
"CR","Euxylophora paraensis"
"CR","Galipea carinata"
"VU","Metrodorea maracasana"
"CR","Nycticalanthus speciosus"
"VU","Pilocarpus alatus"
"EN","Pilocarpus jaborandi"
"EN","Pilocarpus microphyllus"
"EN","Pilocarpus trachylophus"
"VU","Raulinoa echinata"
"VU","Abatia angeliana"
"VU","Casearia paranaensis"
"VU","Acanthosyris paulo-alvinii"
"VU","Cupania concolor"
"VU","Cupania furfuracea"
"EN","Melicoccus espiritosantensis"
"CR","Serjania divaricocca"
